iter	Passed	Remaining
0	46	46840
1	47	23522
2	47	15751
3	47	11860
4	47	9526
5	48	7972
6	48	6864
7	48	6039
8	49	5408
9	49	4888
10	49	4463
11	49	4105
12	50	3804
13	50	3552
14	50	3333
15	51	3137
16	51	2965
17	51	2816
18	51	2677
19	52	2555
20	52	2440
21	52	2336
22	52	2241
23	52	2154
24	53	2074
25	53	2000
26	53	1930
27	53	1867
28	53	1807
29	54	1753
30	54	1701
31	54	1653
32	54	1607
33	55	1564
34	55	1524
35	55	1485
36	55	1449
37	55	1415
38	56	1382
39	56	1351
40	56	1321
41	56	1293
42	56	1267
43	57	1241
44	57	1216
45	57	1193
46	57	1171
47	57	1149
48	58	1128
49	58	1109
50	58	1090
51	58	1071
52	58	1054
53	59	1037
54	59	1020
55	59	1004
56	59	989
57	59	974
58	60	960
59	60	946
60	60	933
61	60	920
62	61	907
63	61	895
64	61	884
65	61	872
66	61	861
67	62	851
68	62	840
69	62	830
70	62	820
71	62	810
72	63	801
73	63	792
74	63	784
75	63	776
76	64	769
77	64	763
78	64	756
79	65	748
80	65	741
81	65	733
82	65	725
83	65	718
84	66	711
85	66	705
86	66	698
87	66	692
88	67	686
89	67	680
90	67	674
91	67	668
92	67	663
93	68	657
94	68	651
95	68	646
96	68	640
97	69	635
98	69	629
99	69	624
100	69	619
101	69	614
102	70	609
103	70	605
104	70	600
105	70	595
106	70	591
107	71	586
108	71	582
109	71	578
110	71	573
111	71	569
112	72	565
113	72	561
114	72	557
115	72	553
116	72	549
117	73	545
118	73	542
119	73	538
120	73	534
121	73	530
122	73	527
123	74	524
124	74	520
125	74	517
126	74	513
127	74	510
128	75	507
129	75	504
130	75	501
131	75	498
132	75	495
133	76	492
134	76	489
135	76	486
136	76	484
137	77	481
138	77	478
139	77	475
140	77	473
141	77	470
142	77	467
143	78	464
144	78	462
145	78	459
146	78	457
147	79	454
148	79	452
149	79	450
150	79	448
151	80	447
152	80	445
153	80	443
154	80	441
155	81	439
156	81	437
157	81	435
158	81	433
159	82	430
160	82	428
161	82	426
162	82	424
163	82	422
164	83	421
165	83	419
166	83	417
167	83	415
168	84	413
169	84	411
170	84	409
171	84	408
172	84	406
173	85	404
174	85	402
175	85	400
176	85	398
177	85	397
178	86	395
179	86	393
180	86	391
181	86	390
182	87	388
183	87	386
184	87	385
185	87	383
186	87	381
187	87	380
188	88	378
189	88	376
190	88	375
191	88	373
192	88	372
193	89	370
194	89	369
195	89	367
196	89	365
197	89	364
198	90	363
199	90	361
200	90	360
201	90	358
202	91	357
203	91	355
204	91	354
205	91	353
206	91	351
207	92	350
208	92	349
209	92	347
210	92	346
211	92	345
212	93	343
213	93	342
214	93	341
215	93	339
216	93	338
217	94	337
218	94	336
219	94	334
220	94	333
221	94	332
222	95	331
223	95	330
224	95	329
225	96	328
226	96	327
227	96	326
228	96	325
229	96	324
230	97	323
231	97	322
232	97	321
233	97	320
234	98	319
235	98	318
236	98	317
237	98	316
238	99	315
239	99	314
240	99	313
241	99	312
242	100	311
243	100	310
244	100	309
245	100	308
246	100	307
247	101	306
248	101	305
249	101	304
250	101	303
251	101	302
252	102	301
253	102	300
254	102	299
255	102	298
256	102	297
257	103	296
258	103	295
259	103	294
260	103	293
261	104	293
262	104	292
263	104	291
264	104	290
265	104	289
266	105	288
267	105	287
268	105	286
269	105	285
270	105	284
271	106	283
272	106	283
273	106	282
274	106	281
275	106	280
276	107	279
277	107	278
278	107	277
279	107	276
280	107	276
281	108	275
282	108	274
283	108	273
284	108	272
285	108	271
286	109	271
287	109	270
288	109	269
289	109	268
290	109	267
291	110	267
292	110	266
293	110	265
294	110	265
295	111	264
296	111	263
297	111	263
298	111	262
299	112	261
300	112	260
301	112	260
302	112	259
303	112	258
304	113	257
305	113	257
306	113	256
307	113	255
308	114	255
309	114	254
310	114	253
311	114	253
312	115	252
313	115	251
314	115	251
315	115	250
316	115	249
317	116	248
318	116	248
319	116	247
320	116	246
321	116	246
322	117	245
323	117	244
324	117	244
325	117	243
326	117	242
327	118	242
328	118	241
329	118	240
330	118	240
331	118	239
332	119	238
333	119	238
334	119	237
335	119	236
336	120	236
337	120	235
338	120	234
339	120	234
340	120	233
341	121	232
342	121	232
343	121	231
344	121	230
345	121	230
346	122	229
347	122	228
348	122	228
349	122	227
350	122	227
351	123	226
352	123	225
353	123	225
354	123	224
355	123	223
356	124	223
357	124	222
358	124	222
359	124	221
360	124	220
361	125	220
362	125	219
363	125	219
364	125	218
365	125	217
366	126	217
367	126	216
368	126	216
369	126	215
370	127	215
371	127	214
372	127	214
373	127	213
374	127	213
375	128	212
376	128	212
377	128	211
378	128	210
379	129	210
380	129	210
381	129	209
382	129	209
383	130	208
384	130	208
385	130	207
386	130	207
387	130	206
388	131	205
389	131	205
390	131	204
391	131	204
392	131	203
393	132	203
394	132	202
395	132	202
396	132	201
397	133	201
398	133	200
399	133	200
400	133	199
401	133	199
402	134	198
403	134	198
404	134	197
405	134	197
406	134	196
407	135	195
408	135	195
409	135	194
410	135	194
411	135	193
412	136	193
413	136	192
414	136	192
415	136	191
416	136	191
417	137	190
418	137	190
419	137	189
420	137	189
421	137	188
422	138	188
423	138	187
424	138	187
425	138	186
426	138	186
427	139	185
428	139	185
429	139	184
430	139	184
431	139	183
432	140	183
433	140	182
434	140	182
435	140	181
436	140	181
437	141	181
438	141	180
439	141	180
440	141	179
441	141	179
442	142	178
443	142	178
444	142	177
445	143	177
446	143	177
447	143	176
448	143	176
449	143	175
450	144	175
451	144	175
452	144	174
453	144	174
454	145	173
455	145	173
456	145	172
457	145	172
458	146	172
459	146	171
460	146	171
461	146	170
462	146	170
463	147	169
464	147	169
465	147	169
466	147	168
467	147	168
468	148	167
469	148	167
470	148	166
471	148	166
472	148	165
473	149	165
474	149	165
475	149	164
476	149	164
477	149	163
478	150	163
479	150	162
480	150	162
481	150	162
482	150	161
483	151	161
484	151	160
485	151	160
486	151	159
487	152	159
488	152	159
489	152	158
490	152	158
491	152	157
492	153	157
493	153	157
494	153	156
495	153	156
496	153	155
497	154	155
498	154	154
499	154	154
500	154	154
501	154	153
502	155	153
503	155	152
504	155	152
505	155	152
506	155	151
507	156	151
508	156	150
509	156	150
510	156	149
511	156	149
512	157	149
513	157	148
514	157	148
515	157	148
516	158	147
517	158	147
518	158	146
519	158	146
520	159	146
521	159	145
522	159	145
523	159	145
524	159	144
525	160	144
526	160	143
527	160	143
528	160	143
529	160	142
530	161	142
531	161	141
532	161	141
533	161	141
534	162	140
535	162	140
536	162	140
537	162	139
538	162	139
539	163	138
540	163	138
541	163	138
542	163	137
543	163	137
544	164	137
545	164	136
546	164	136
547	164	135
548	164	135
549	165	135
550	165	134
551	165	134
552	165	134
553	166	133
554	166	133
555	166	132
556	166	132
557	166	132
558	167	131
559	167	131
560	167	131
561	167	130
562	167	130
563	168	129
564	168	129
565	168	129
566	168	128
567	168	128
568	169	128
569	169	127
570	169	127
571	169	127
572	169	126
573	170	126
574	170	125
575	170	125
576	170	125
577	170	124
578	171	124
579	171	124
580	171	123
581	171	123
582	171	123
583	172	122
584	172	122
585	172	121
586	172	121
587	172	121
588	173	120
589	173	120
590	173	120
591	173	119
592	174	119
593	174	119
594	174	118
595	174	118
596	175	118
597	175	117
598	175	117
599	175	117
600	175	116
601	176	116
602	176	116
603	176	115
604	176	115
605	177	115
606	177	114
607	177	114
608	177	114
609	178	113
610	178	113
611	178	113
612	178	112
613	178	112
614	179	112
615	179	111
616	179	111
617	179	111
618	179	110
619	180	110
620	180	110
621	180	109
622	180	109
623	180	109
624	181	108
625	181	108
626	181	108
627	181	107
628	181	107
629	182	106
630	182	106
631	182	106
632	182	105
633	182	105
634	183	105
635	183	104
636	183	104
637	183	104
638	183	103
639	184	103
640	184	103
641	184	102
642	184	102
643	184	102
644	185	101
645	185	101
646	185	101
647	185	100
648	186	100
649	186	100
650	186	99
651	186	99
652	186	99
653	187	99
654	187	98
655	187	98
656	188	98
657	188	97
658	188	97
659	188	97
660	189	96
661	189	96
662	189	96
663	189	96
664	190	95
665	190	95
666	190	95
667	190	94
668	191	94
669	191	94
670	191	93
671	191	93
672	192	93
673	192	93
674	192	92
675	192	92
676	193	92
677	193	91
678	193	91
679	193	91
680	193	90
681	194	90
682	194	90
683	194	89
684	194	89
685	195	89
686	195	88
687	195	88
688	195	88
689	195	87
690	196	87
691	196	87
692	196	87
693	196	86
694	196	86
695	197	86
696	197	85
697	197	85
698	197	85
699	197	84
700	198	84
701	198	84
702	198	83
703	198	83
704	198	83
705	199	82
706	199	82
707	199	82
708	199	81
709	199	81
710	200	81
711	200	81
712	200	80
713	200	80
714	201	80
715	201	79
716	201	79
717	201	79
718	201	78
719	202	78
720	202	78
721	202	77
722	202	77
723	202	77
724	203	77
725	203	76
726	203	76
727	203	76
728	203	75
729	204	75
730	204	75
731	204	74
732	205	74
733	205	74
734	205	74
735	206	74
736	206	73
737	207	73
738	207	73
739	207	72
740	207	72
741	208	72
742	208	72
743	209	71
744	209	71
745	209	71
746	209	71
747	210	70
748	210	70
749	210	70
750	210	69
751	211	69
752	211	69
753	211	69
754	211	68
755	211	68
756	212	68
757	212	67
758	212	67
759	212	67
760	213	66
761	213	66
762	213	66
763	213	66
764	213	65
765	214	65
766	214	65
767	214	64
768	214	64
769	214	64
770	215	63
771	215	63
772	215	63
773	215	62
774	215	62
775	216	62
776	216	62
777	216	61
778	216	61
779	216	61
780	217	60
781	217	60
782	217	60
783	217	59
784	217	59
785	218	59
786	218	59
787	218	58
788	218	58
789	218	58
790	219	57
791	219	57
792	219	57
793	219	57
794	220	56
795	220	56
796	220	56
797	220	55
798	220	55
799	221	55
800	221	55
801	221	54
802	222	54
803	222	54
804	222	53
805	222	53
806	223	53
807	223	53
808	223	52
809	223	52
810	223	52
811	224	51
812	224	51
813	224	51
814	224	51
815	225	50
816	225	50
817	225	50
818	225	49
819	226	49
820	226	49
821	226	49
822	226	48
823	226	48
824	227	48
825	227	47
826	227	47
827	227	47
828	227	47
829	228	46
830	228	46
831	228	46
832	228	45
833	228	45
834	229	45
835	229	45
836	229	44
837	229	44
838	230	44
839	230	43
840	230	43
841	230	43
842	230	42
843	231	42
844	231	42
845	231	42
846	231	41
847	231	41
848	232	41
849	232	40
850	232	40
851	232	40
852	232	40
853	233	39
854	233	39
855	233	39
856	233	39
857	233	38
858	234	38
859	234	38
860	234	37
861	234	37
862	235	37
863	235	37
864	235	36
865	235	36
866	235	36
867	236	35
868	236	35
869	236	35
870	236	35
871	237	34
872	237	34
873	237	34
874	237	33
875	238	33
876	238	33
877	238	33
878	238	32
879	238	32
880	239	32
881	239	32
882	239	31
883	239	31
884	240	31
885	240	30
886	240	30
887	240	30
888	241	30
889	241	29
890	241	29
891	241	29
892	241	28
893	242	28
894	242	28
895	242	28
896	242	27
897	242	27
898	243	27
899	243	27
900	243	26
901	243	26
902	243	26
903	244	25
904	244	25
905	244	25
906	244	25
907	244	24
908	245	24
909	245	24
910	245	23
911	245	23
912	246	23
913	246	23
914	246	22
915	246	22
916	246	22
917	247	22
918	247	21
919	247	21
920	247	21
921	247	20
922	248	20
923	248	20
924	248	20
925	248	19
926	248	19
927	249	19
928	249	19
929	249	18
930	249	18
931	249	18
932	250	17
933	250	17
934	250	17
935	250	17
936	251	16
937	251	16
938	251	16
939	251	16
940	251	15
941	252	15
942	252	15
943	252	14
944	252	14
945	253	14
946	253	14
947	253	13
948	253	13
949	254	13
950	254	13
951	254	12
952	254	12
953	254	12
954	255	12
955	255	11
956	255	11
957	255	11
958	256	10
959	256	10
960	256	10
961	256	10
962	256	9
963	257	9
964	257	9
965	257	9
966	257	8
967	258	8
968	258	8
969	258	7
970	258	7
971	258	7
972	259	7
973	259	6
974	259	6
975	259	6
976	259	6
977	260	5
978	260	5
979	260	5
980	260	5
981	260	4
982	261	4
983	261	4
984	261	3
985	261	3
986	261	3
987	262	3
988	262	2
989	262	2
990	262	2
991	262	2
992	263	1
993	263	1
994	263	1
995	263	1
996	263	0
997	264	0
998	264	0
999	264	0
